,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
748,0.7257360219955444,0.02240494992436178,0.011462211608886719,0.0026841303354785055,0.13,200,l2,sag,"{'clf__C': 0.13, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'sag'}",0.812202380952381,0.808670634920635,0.8052976190476191,0.8087103174603174,0.8087202380952381,0.002441423709467662,19
22,0.3866642713546753,0.027444721079123078,0.012723565101623535,0.0017628601581040858,0.01,200,l1,liblinear,"{'clf__C': 0.01, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8135714285714286,0.809047619047619,0.8066071428571429,0.8054563492063492,0.8086706349206348,0.0031124559269495498,20
804,0.6685398817062378,0.009169184069032034,0.01021575927734375,0.0012946538826473124,0.14,200,l1,saga,"{'clf__C': 0.14, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8119246031746031,0.8098809523809524,0.8071031746031746,0.8057142857142857,0.808655753968254,0.0024108724799489878,21
262,0.39866870641708374,0.012588625290438152,0.012955129146575928,0.003069433188585006,0.05,200,l1,liblinear,"{'clf__C': 0.05, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8139087301587301,0.8110119047619048,0.8053968253968254,0.8041865079365079,0.8086259920634921,0.003991755186073579,22
25,0.3132765293121338,0.006119668506665469,0.01196068525314331,0.0017267981502353206,0.01,200,l2,lbfgs,"{'clf__C': 0.01, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.812063492063492,0.8065476190476191,0.8081150793650793,0.8075992063492063,0.8085813492063492,0.002088264195019034,23
196,0.5070745348930359,0.011744523230330196,0.013207077980041504,0.0008247115509923876,0.04,100,none,newton-cg,"{'clf__C': 0.04, 'clf__max_iter': 100, 'clf__penalty': 'none', 'clf__solver': 'newton-cg'}",0.8146031746031746,0.8085119047619047,0.8068452380952381,0.8043253968253968,0.8085714285714286,0.0037879421333945817,24
344,0.686366617679596,0.020841198571149196,0.010963916778564453,0.001864225750723612,0.060000000000000005,300,l1,saga,"{'clf__C': 0.060000000000000005, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8108730158730159,0.8111507936507937,0.80375,0.8084920634920635,0.8085664682539682,0.0029665974695638054,25
425,0.321303129196167,0.012414449492272345,0.013204097747802734,0.0034077203249567303,0.08,100,l2,lbfgs,"{'clf__C': 0.08, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.8125396825396826,0.810218253968254,0.8078571428571428,0.8036309523809524,0.8085615079365079,0.003293068054204867,26
6,0.5512678623199463,0.030372299697213005,0.012694776058197021,0.0004594889359995507,0.01,100,l2,newton-cg,"{'clf__C': 0.01, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8123809523809524,0.807202380952381,0.8087896825396825,0.8058134920634921,0.808546626984127,0.002451435861902469,27
226,0.501898467540741,0.018310205020835628,0.011710882186889648,0.0008264003935522667,0.04,300,l2,newton-cg,"{'clf__C': 0.04, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8111111111111111,0.8106547619047619,0.807202380952381,0.8051984126984127,0.8085416666666666,0.002451440880333581,28
