,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__max_depth,param_clf__min_child_weight,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
65,10.899603128433228,0.22386622978179782,0.06588220596313477,0.00505652694121652,0.6,8,6,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8846428571428572,0.8839087301587302,0.8846230158730158,0.883829365079365,0.884250992063492,0.00038303801393389423,36
19,32.77987104654312,1.3287443731955086,0.09702426195144653,0.0183060911638095,0.5,8,6,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8837103174603175,0.8844047619047619,0.8849206349206349,0.8836309523809524,0.8841666666666667,0.0005292451852519436,37
109,11.540717661380768,0.4319635448129117,0.06914907693862915,0.01206372663451106,0.7,8,6,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8826785714285714,0.8845039682539683,0.8850793650793651,0.8844047619047619,0.8841666666666667,0.0008969263533568194,37
57,17.414613842964172,1.221731911619368,0.08639132976531982,0.0028189513508438276,0.6,7,7,0.8,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.8834126984126984,0.8850396825396826,0.884563492063492,0.8835912698412698,0.8841517857142858,0.0006742201001522072,39
18,32.18639779090881,3.0139784118131665,0.10598164796829224,0.010536372423200317,0.5,8,6,0.8,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.8}",0.8840079365079365,0.8838492063492064,0.884702380952381,0.8840476190476191,0.8841517857142858,0.0003264401465034224,39
97,5.207086086273193,0.04715210201492133,0.05333304405212402,0.014279899470428544,0.7,6,8,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8831547619047619,0.8838690476190476,0.8850396825396826,0.8844047619047619,0.8841170634920635,0.0006930967648693868,41
71,10.176783621311188,0.10474456284942231,0.060412466526031494,0.0021861077401240485,0.6,8,8,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.8822023809523809,0.8847817460317461,0.8855555555555555,0.8837896825396825,0.8840823412698413,0.0012529392722885225,42
46,12.983602404594421,1.2292560313728569,0.10001301765441895,0.03447035774458174,0.6,6,6,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8827777777777778,0.8858928571428571,0.8851785714285715,0.8824801587301587,0.8840823412698413,0.0014788984991067362,42
68,10.584533452987671,0.071686945187581,0.07457554340362549,0.015951364944683494,0.6,8,7,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.883234126984127,0.884265873015873,0.8847619047619047,0.8840476190476191,0.884077380952381,0.0005513767155393017,44
25,36.06718999147415,1.556045819395673,0.09596073627471924,0.018416465813687836,0.5,8,8,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8841269841269841,0.8835119047619048,0.8843452380952381,0.8840674603174603,0.8840128968253969,0.00030717944851966323,45
112,11.106310606002808,0.3266815104044895,0.05697566270828247,0.0027963770714125513,0.7,8,7,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.883829365079365,0.8837301587301587,0.884484126984127,0.8839880952380952,0.8840079365079365,0.00028991347611516394,46
95,5.288316965103149,0.08172515785410184,0.05034661293029785,0.013099102255265577,0.7,6,7,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.8831746031746032,0.8838095238095238,0.8856150793650793,0.8832539682539683,0.8839632936507937,0.000984532426563165,47
60,20.323498964309692,1.4371133120760673,0.08380818367004395,0.004858948341478491,0.6,7,8,0.8,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.8}",0.8833134920634921,0.8844047619047619,0.8844246031746031,0.8836904761904761,0.8839583333333333,0.0004754665462826063,48
114,10.662559926509857,0.2198800854499044,0.06269776821136475,0.014483397488311681,0.7,8,8,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 8, 'clf__subsample': 0.8}",0.8836111111111111,0.8840277777777777,0.8852777777777778,0.8828769841269841,0.8839484126984127,0.0008710972785125272,49
110,11.41841721534729,0.355292441002043,0.06042277812957764,0.008729092240452003,0.7,8,6,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8829365079365079,0.8839285714285714,0.8853174603174603,0.8833928571428571,0.8838938492063491,0.0008937798362877729,50
102,7.488358736038208,0.22387464694844797,0.0742308497428894,0.027699716236166284,0.7,7,7,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.882718253968254,0.8838690476190476,0.8848809523809524,0.883968253968254,0.8838591269841269,0.0007677443418232594,51
35,55.676040947437286,2.905125101769361,0.08551889657974243,0.008056564584931035,0.5,9,8,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.8833531746031746,0.8842261904761904,0.8843650793650794,0.8834722222222222,0.8838541666666666,0.0004461804866239382,52
66,10.61070829629898,0.1922185072297486,0.06482678651809692,0.008030321194556598,0.6,8,7,0.8,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.883531746031746,0.8838095238095238,0.8845833333333334,0.8833333333333333,0.8838144841269842,0.00047502647915218795,53
90,5.350224018096924,0.14223738571944625,0.04754018783569336,0.011749658343693539,0.7,6,6,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 6, 'clf__subsample': 0.8}",0.8822619047619048,0.88375,0.8863492063492063,0.882797619047619,0.8837896825396825,0.0015709099071900673,54
32,49.060484528541565,2.005005161159945,0.10269629955291748,0.009922224699048705,0.5,9,7,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.8841071428571429,0.8833134920634921,0.8850396825396826,0.8826190476190476,0.8837698412698414,0.0009026142360154229,55
77,14.001243472099304,0.2164641079270712,0.06648635864257812,0.0027149574448276062,0.6,9,7,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 9, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.8828968253968253,0.8846626984126984,0.8846825396825397,0.8826984126984126,0.883735119047619,0.0009401470147589191,56
24,28.531007051467896,3.041720695519207,0.11077457666397095,0.026314442044115087,0.5,8,8,0.8,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 8, 'clf__subsample': 0.8}",0.8827579365079365,0.8840674603174603,0.8851388888888889,0.8829761904761905,0.883735119047619,0.0009502471756455667,56
111,10.676777184009552,0.22588439043923075,0.05793708562850952,0.0036926058881453813,0.7,8,7,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.8834722222222222,0.8841468253968254,0.8844047619047619,0.8828174603174603,0.8837103174603175,0.0006177935506722366,58
91,5.341281354427338,0.06419557239536458,0.04421341419219971,0.0009903190671890895,0.7,6,6,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.883531746031746,0.8828571428571429,0.8860912698412698,0.8823611111111112,0.8837103174603174,0.0014360611644099266,59
80,13.495408475399017,0.09123255550173413,0.0721997618675232,0.011611620803563505,0.6,9,8,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 9, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.8841468253968254,0.883531746031746,0.8848214285714285,0.8822420634920635,0.8836855158730158,0.0009500400090698645,60
52,11.428911745548248,0.9009764764086517,0.06888091564178467,0.011828331498535754,0.6,6,8,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8828769841269841,0.883531746031746,0.8853968253968254,0.8829166666666667,0.8836805555555556,0.0010243265736342426,61
49,10.89627754688263,2.087721557392222,0.07637518644332886,0.005213405746849772,0.6,6,7,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.881984126984127,0.8849603174603174,0.8866269841269842,0.8811111111111111,0.8836706349206349,0.002224789475122729,62
