,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
80,18.41189616918564,0.1302630580504004,0.17920631170272827,0.0037683683173482026,8,5,6,120,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8873015873015873,0.8889880952380952,0.888095238095238,0.8859126984126984,0.8875744047619047,0.0011297660688422949,21
122,23.864834308624268,0.03483653371103909,0.24111342430114746,0.0039283746925458446,10,3,4,120,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 120}",0.8869444444444444,0.8884722222222222,0.8879563492063492,0.8869246031746032,0.8875744047619047,0.0006654039853967018,21
59,18.437036752700806,0.061764103931581896,0.17497652769088745,0.003387477929988356,8,1,4,120,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 120}",0.886547619047619,0.8872619047619048,0.8896825396825396,0.886547619047619,0.8875099206349206,0.0012878115243690608,23
157,19.657739877700806,0.12546275619769234,0.20572268962860107,0.006352564460762989,11,5,4,80,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}",0.8862896825396825,0.8875793650793651,0.8889880952380952,0.8871825396825397,0.8875099206349206,0.000972880001000456,23
104,20.74668449163437,0.13526883011502372,0.21451324224472046,0.0076330668030182595,9,5,4,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 120}",0.8860317460317461,0.8885515873015873,0.8880357142857143,0.8874007936507936,0.8875049603174603,0.0009431779848996113,25
124,16.03299391269684,0.04708736691694663,0.1718469262123108,0.005300858168012046,10,3,6,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}",0.885436507936508,0.8881150793650794,0.8891468253968254,0.8873015873015873,0.8875,0.0013590183596958643,26
62,18.405417323112488,0.030563760020033085,0.17650240659713745,0.002938252482211357,8,1,6,120,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8853968253968254,0.888968253968254,0.8873809523809524,0.8880357142857143,0.8874454365079365,0.0013103784338490468,27
100,13.947363317012787,0.07536197187686665,0.14747434854507446,0.0041791063663545085,9,5,2,80,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}",0.8888095238095238,0.8873015873015873,0.8863690476190477,0.8872222222222222,0.8874255952380953,0.0008786765209725519,28
183,14.101434826850891,0.11937334844765762,0.1689050793647766,0.006543998294963605,12,5,4,50,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 50}",0.8865079365079365,0.8864484126984127,0.8890476190476191,0.8875992063492063,0.8874007936507936,0.0010554175527403625,29
126,10.09900164604187,0.07136969549900615,0.12105470895767212,0.002800273830788225,10,5,2,50,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.8859126984126984,0.887797619047619,0.8879563492063492,0.8878373015873016,0.887375992063492,0.0008468498261527551,30
185,32.36802464723587,0.1659374359417931,0.33041757345199585,0.0065937937191646685,12,5,4,120,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 120}",0.8858531746031746,0.8878769841269841,0.8891666666666667,0.886547619047619,0.8873611111111112,0.0012710033125483814,31
