,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
352,0.43776828050613403,0.009643520488412357,0.015284597873687744,0.0016278145721845194,12,5,17,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 17}",0.8332936507936508,0.8197222222222222,0.7994444444444444,0.7881150793650794,0.8101438492063492,0.01751715235234701,337
441,0.4441067576408386,0.01362299712832115,0.016194939613342285,0.0008252882533830221,13,9,16,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 16}",0.8109722222222222,0.8154365079365079,0.8037103174603175,0.8101984126984128,0.8100793650793652,0.004185543972373357,338
220,0.4067872166633606,0.010921265053948241,0.014202594757080078,0.0021869904741883056,9,7,15,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 15}",0.8021626984126984,0.7890277777777778,0.8178373015873016,0.8312698412698413,0.8100744047619047,0.01593004002387297,339
321,0.42383402585983276,0.005387489055819973,0.01769280433654785,0.0008266939474377177,11,7,16,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 16}",0.8057341269841269,0.8313690476190476,0.812063492063492,0.7910515873015873,0.8100545634920635,0.014475171012111357,340
399,0.43449974060058594,0.006527015132325025,0.01544862985610962,0.0014944674985550178,12,9,24,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 24}",0.807797619047619,0.8106944444444445,0.8047222222222222,0.8164087301587302,0.8099057539682539,0.004307666601736178,341
356,0.4384647607803345,0.015628602855746805,0.01569730043411255,0.0019136523251971063,12,5,21,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 21}",0.8096825396825397,0.7985714285714286,0.8201190476190476,0.8111706349206349,0.8098859126984127,0.0076554959528359464,342
412,0.45273470878601074,0.008926817852155785,0.01694345474243164,0.0018644485555326178,13,6,17,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 17}",0.8049404761904762,0.7936904761904762,0.8186507936507936,0.8217261904761904,0.809751984126984,0.011221553752177134,343
281,0.4018576741218567,0.008682701437545117,0.014452159404754639,0.001494904400639301,10,8,16,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 16}",0.7788888888888889,0.8264880952380952,0.8058333333333333,0.8267063492063492,0.8094791666666666,0.01959041005581272,344
171,0.4028003215789795,0.015283880146442892,0.014949679374694824,0.0012208114388308133,8,7,16,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 16}",0.7667261904761905,0.8393452380952381,0.8349404761904762,0.7967261904761904,0.8094345238095239,0.029709880124982255,345
299,0.4229987859725952,0.011031280863777903,0.014452040195465088,0.0004983550124067527,10,9,24,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 24}",0.81625,0.8066468253968254,0.8309325396825397,0.78375,0.8093948412698413,0.017146975893183952,346
470,0.45350128412246704,0.007740735534728743,0.015451192855834961,0.0016540987627204288,14,7,15,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 15}",0.8332936507936508,0.8054563492063492,0.789702380952381,0.8089880952380952,0.809360119047619,0.015609439688436482,347
219,0.4156995415687561,0.010602458141194147,0.014712393283843994,0.0010356141438978503,9,6,24,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 24}",0.8210714285714286,0.7947420634920634,0.7969642857142857,0.8246230158730159,0.8093501984126983,0.01357805793221439,348
226,0.4221421480178833,0.01591532432809233,0.013951718807220459,0.0007019174035994055,9,7,21,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 21}",0.8171428571428572,0.7838690476190476,0.8247420634920635,0.8112698412698413,0.8092559523809523,0.015415686701505116,349
303,0.4250648617744446,0.006560460754867476,0.015455305576324463,0.0014928382650003656,11,5,18,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 18}",0.795079365079365,0.8118452380952381,0.833234126984127,0.7968055555555555,0.8092410714285714,0.015310489710235735,350
350,0.43504345417022705,0.01458716362950037,0.014702081680297852,0.00043153726593550345,12,5,15,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 15}",0.8136904761904762,0.7981349206349206,0.8071230158730158,0.8179166666666666,0.8092162698412698,0.007464808098392752,351
212,0.395976185798645,0.01128868973367797,0.014700591564178467,0.0014738450179746932,9,6,17,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 17}",0.8170833333333334,0.8170039682539683,0.8262896825396825,0.7764484126984127,0.8092063492063492,0.019285826555947298,352
241,0.4143041968345642,0.017912276676820528,0.014700591564178467,0.0014741271263525636,9,9,16,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 16}",0.8220833333333334,0.7997420634920634,0.7996825396825397,0.8150396825396825,0.8091369047619048,0.009748087758483225,353
337,0.43461769819259644,0.007355873030346746,0.015946388244628906,0.0022284955956438715,11,8,22,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 22}",0.8204563492063492,0.7796230158730159,0.8041468253968254,0.831765873015873,0.8089980158730159,0.01959651369307569,354
423,0.45524173974990845,0.015143609116523538,0.015683531761169434,0.0018894270048761444,13,7,18,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 18}",0.8294246031746032,0.8274206349206349,0.7905555555555556,0.7884126984126985,0.808953373015873,0.019496858893982356,355
488,0.45228052139282227,0.0074196969952711024,0.015946567058563232,3.5262583393452264e-07,14,8,23,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 23}",0.7995238095238095,0.8194047619047619,0.7794047619047619,0.837281746031746,0.8089037698412699,0.021643448730389758,356
332,0.4387173652648926,0.01735670602913108,0.01481407880783081,0.001521763704079833,11,8,17,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 17}",0.7991666666666667,0.7967063492063492,0.8237301587301588,0.8157738095238095,0.808844246031746,0.01129815614123265,357
150,0.40190964937210083,0.011657088803089981,0.014451742172241211,0.002283942056038982,8,5,15,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 15}",0.7670436507936508,0.8284325396825397,0.833452380952381,0.8061309523809523,0.808764880952381,0.026191067570133113,358
345,0.4422587752342224,0.012939361130622395,0.015199124813079834,0.0014742281712837794,11,9,20,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 20}",0.8171825396825397,0.7951190476190476,0.7962896825396826,0.8262103174603175,0.8087003968253967,0.013388642046867886,359
401,0.45736610889434814,0.017911895914801176,0.014969289302825928,0.0007037424743711632,13,5,16,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 16}",0.8286904761904762,0.8009325396825396,0.8035119047619048,0.8011309523809523,0.8085664682539683,0.011662847736032154,360
77,0.37621814012527466,0.005840915281699454,0.016435444355010986,0.002678255135918293,6,7,22,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 22}",0.8411904761904762,0.7941269841269841,0.8096230158730159,0.7891865079365079,0.808531746031746,0.02030713500189986,361
272,0.4270898699760437,0.01146356076135024,0.016943633556365967,0.000704274163987608,10,7,17,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 17}",0.8400992063492063,0.8017460317460318,0.8006746031746032,0.7912301587301588,0.8084375,0.018732288681817377,362
460,0.4639441967010498,0.007736169868955145,0.016694366931915283,0.0017794770982554387,14,6,15,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 15}",0.8150992063492063,0.8222817460317461,0.7573015873015873,0.8389880952380953,0.8084176587301587,0.030758171035792405,363
234,0.4029023051261902,0.01595383591804582,0.014467298984527588,0.0011079922327266254,9,8,19,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 19}",0.7704960317460318,0.8279761904761904,0.8221230158730158,0.8126190476190476,0.8083035714285713,0.022505679152956065,364
175,0.3969199061393738,0.008404045825033006,0.013953089714050293,0.0007046111797941486,8,7,20,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 20}",0.8499603174603174,0.8280952380952381,0.7952777777777778,0.7598809523809524,0.8083035714285713,0.03406396884929045,364
404,0.45348191261291504,0.0052279812578876934,0.01669466495513916,0.0019146223292677421,13,5,19,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 19}",0.8086904761904762,0.8203571428571429,0.7990873015873016,0.8049404761904762,0.8082688492063492,0.00777308652201933,366
233,0.4038822054862976,0.008554950548953513,0.015199005603790283,0.001473845365087655,9,8,18,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 18}",0.7971825396825397,0.799404761904762,0.8210515873015873,0.8146428571428571,0.8080704365079365,0.010066618132948395,367
273,0.4320976138114929,0.007810017815419322,0.015797734260559082,0.001883551247741687,10,7,18,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 18}",0.7757142857142857,0.8014880952380953,0.8249603174603175,0.83,0.8080406746031746,0.021543084744461913,368
434,0.44373393058776855,0.006898390766387633,0.01594555377960205,0.002439530360789448,13,8,19,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 19}",0.818234126984127,0.7766269841269842,0.8154960317460317,0.8215674603174603,0.8079811507936507,0.018229567536894527,369
336,0.44120603799819946,0.021773683081042036,0.014702677726745605,0.0004300906788514182,11,8,21,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 21}",0.8113690476190476,0.7986309523809524,0.8178769841269842,0.8038293650793651,0.8079265873015873,0.0073153432683667665,370
331,0.4218563437461853,0.018039803475404955,0.014454543590545654,0.0005011093860073409,11,8,16,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 16}",0.8128968253968254,0.823015873015873,0.7894047619047619,0.8062698412698412,0.8078968253968254,0.012228952228737678,371
252,0.41511017084121704,0.01341624851092413,0.014202535152435303,0.0008267778195552949,10,5,17,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 17}",0.785952380952381,0.8190873015873016,0.815515873015873,0.8109920634920635,0.8078869047619048,0.012984754436997094,372
449,0.44127029180526733,0.004131222475914192,0.015215277671813965,0.0010833308997205814,13,9,24,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 24}",0.8154365079365079,0.7983134920634921,0.7891468253968253,0.8285912698412699,0.8078720238095238,0.015235707736812222,373
64,0.36182183027267456,0.008912141277914723,0.0139540433883667,0.0012217848483690862,6,6,19,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 19}",0.837579365079365,0.7910912698412699,0.7942063492063492,0.8084722222222223,0.8078373015873015,0.018379512418923643,374
193,0.3984183669090271,0.018222547077926306,0.012955069541931152,0.0007042776371198931,8,9,18,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 18}",0.7808730158730158,0.7757738095238095,0.8303174603174603,0.8436507936507937,0.8076537698412699,0.0297614231938553,375
362,0.43594861030578613,0.015996624232161083,0.014201998710632324,0.0004317426885855514,12,6,17,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 17}",0.8301388888888889,0.8215476190476191,0.7930357142857143,0.7856349206349207,0.8075892857142858,0.01868903595788913,376
275,0.42614638805389404,0.008039025768647701,0.01618140935897827,0.0022458111852489697,10,7,20,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 20}",0.8193849206349206,0.7839087301587302,0.8039087301587302,0.8231349206349207,0.8075843253968255,0.015452498749917854,377
181,0.3996928334236145,0.0054093005381270105,0.014201879501342773,0.0027631571651914517,8,8,16,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 16}",0.8006944444444445,0.8060714285714285,0.8020039682539682,0.8214087301587302,0.8075446428571429,0.00824632600600514,378
398,0.44129061698913574,0.026321376605827555,0.016195356845855713,0.001463669059489257,12,9,23,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 23}",0.8123412698412699,0.8058730158730159,0.820218253968254,0.7915079365079365,0.8074851190476191,0.010530718921204657,379
